"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","GET /users/5 returns matching user","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","28","GET /users returns list of 10 users @smoke","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","124","DELETE /posts/{id} deletes a post and returns 200 @smoke","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:47 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
"","101","DELETE /posts/100 returns 200","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
"","268","PUT /posts/{id} fully updates a post and returns 200 @smoke","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Update Posts @posts @put @patch","post-tests/update-post.spec.ts","",""
"","270","DELETE /posts/1 returns 200","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
"","102","POST /posts works with data: Second Post","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:47 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","15","GET /users/999 returns 404 for non-existent user @negative","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","311","GET /todos returns list of 200 todos @smoke","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","105","POST /posts works with data: First Post","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:47 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","278","GET /todos/999 returns 404 for non-existent todo @negative","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","43","GET /posts/1 returns a single post with correct data @smoke","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
